pris_idx,vac_idx,energy,vac_type,formation_energy
673,1,-1229.8505,Cu,-9.09851750000007
1302,2,-246.59017,Ru,-7.851425499999976
673,5,-1228.8631,O,-7.075180450000062
673,4,-1228.8214,O,-7.03348045000007
673,3,-1228.7371,O,-6.949180450000085
107,8,-946.64456,Al,-6.857886300000018
317,2,-391.91879,C,-5.813422750000029
107,6,-945.59517,Al,-5.808496300000115
358,1,-1010.8278,Co,-5.7769115500000225
560,2,-1075.3798,Si,-5.74007349999988
107,1,-945.4307,Al,-5.644026300000064
107,4,-945.37278,Al,-5.586106300000097
318,2,-648.01226,C,-5.450372749999929
1232,2,-1020.0505,Mo,-5.2803590000000895
1290,5,-991.63113,O,-5.2656904499999655
1222,2,-1038.7134,Si,-5.251373500000227
1021,1,-448.42471,N,-5.078469000000041
1137,4,-501.3463,N,-5.052499000000012
499,2,-487.00723,N,-5.048649000000012
1139,2,-902.5349,N,-4.993649000000005
1138,4,-470.78436,N,-4.949148999999977
1138,3,-470.7108,N,-4.875588999999991
84,4,-976.30688,O,-4.870520449999958
607,2,-1069.4236,B,-4.854713416666755
617,1,-1058.6872,Zr,-4.775902500000029
672,1,-815.83233,Cu,-4.553997499999923
836,2,-707.62109,N,-4.4944189999999935
1290,9,-990.84929,O,-4.483850449999977
504,2,-842.92225,Te,-4.43699033333337
673,2,-1224.3126,Te,-4.1924203333333026
1222,1,-1037.8771,Sc,-4.178049999999985
617,2,-1061.2947,Si,-4.035473499999853
112,2,-742.94412,Te,-3.913900333333345
456,2,-849.99707,Cd,-3.6311525999999503
1290,7,-989.9576,O,-3.5921604499999376
107,25,-945.44097,O,-3.466830449999975
479,8,-1367.161,Cr,-3.412896000000046
107,33,-945.21798,O,-3.2438404499999933
107,27,-945.04792,O,-3.0737804499999584
289,2,-1008.0675,Tc,-2.9398539999999684
1290,3,-988.87649,Ni,-2.9259947000000466
232,3,-830.12629,O,-2.900110449999943
618,1,-1132.1183,Zr,-2.873602500000061
1290,4,-988.81225,Ni,-2.861754700000006
79,2,-1266.4456,Mo,-2.8313590000000204
560,1,-1071.3301,Y,-2.7615166666664663
1290,6,-989.0477,O,-2.6822604499999443
289,1,-1016.4768,Ca,-2.6023112999999967
952,1,-919.19229,Mg,-2.582714300000021
479,5,-1366.2997,Cr,-2.5515960000000177
672,4,-814.84334,O,-2.5290704499999492
672,6,-814.79647,O,-2.4822004499999366
104,1,-905.09801,Al,-2.468106300000045
672,5,-814.74336,O,-2.4290904499999897
1202,2,-876.52029,As,-2.424351999999999
672,7,-814.67729,O,-2.363020449999908
84,2,-973.31981,Ni,-2.298394700000017
480,8,-1365.6261,Cr,-2.2397960000000694
877,3,-741.56683,O,-2.236910449999982
482,6,-1361.9629,Cr,-2.1735960000000887
482,7,-1361.9513,Cr,-2.1619960000000447
1140,2,-771.52378,N,-2.141948999999954
1230,2,-831.84954,B,-2.1324434166666606
481,6,-1367.5749,Cr,-2.1262960000001385
290,2,-900.03746,Tc,-2.0790439999999535
710,2,-716.31278,Te,-2.078880333333359
107,20,-944.02811,O,-2.0539704499999516
